ID,ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
1946,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2022,5,164425,62119,35660,martes,2022-05-03T14:30,24.0
4581,76,valle del cauca,76109,buenaventura,76109957,humanes mar (buenaventura - valle del cauca),2024,9,6127,1579,2944,domingo,2024-09-29T10:45,10.14
2451,52,nariño,52835,san andres de tumaco,52835016,pital de la costa (tumaco - nariño),2021,11,17575,9485,88,viernes,2021-11-19T13:00,8.56
1150,19,cauca,19809,timbiqui,19809014,chacon (timbiqui - cauca),2023,3,4172,1189,2634,jueves,2023-03-23T19:15,6.23
453,52,nariño,52696,santa barbara,52696014,la ensenada (santa barbara - nariño),2024,3,3542,4018,2141,miercoles,2024-03-13T18:45,6.31
4086,27,choco,27800,unguia,27800005,titumate (unguia - choco),2020,2,8792,3817,6706,jueves,2020-02-20T20:00,5.2
1243,27,choco,27077,bajo baudo (pizarro),27077011,piliza (bajo baudo (pizarro) - choco),2023,2,3654,2233,32,miercoles,2023-02-01T19:15,5.31
1363,52,nariño,52390,la tola,52390005,aguacatal (la tola - nariño),2023,1,2163,511,992,jueves,2023-01-19T18:30,8.25
2310,19,cauca,19318,guapi,19318008,limones (guapi - cauca),2021,12,8928,3931,3891,jueves,2021-12-30T18:45,10.0
3847,27,choco,27075,bahia solano (mutis),27075001,cupica (bahia solano - choco),2020,5,61108,24351,13236,miercoles,2020-05-13T19:00,23.06
15,19,cauca,19809,timbiqui,19809026,los brazos (timbiqui - cauca),2024,6,2593,1121,3655,miercoles,2024-06-12T20:00,2.56
2963,18,caqueta,18150,cartagena del chaira,18150001,remolino del caguan (cartagena del chaira - caqueta),2021,4,15248,7141,8297,sabado,2021-04-17T19:15,8.13
4013,50,meta,50325,mapiripan,50325000,mapiripan (mapiripan - meta),2020,3,140126,57139,29128,miercoles,2020-03-04T19:15,23.4
2317,19,cauca,19418,lopez de micay,19418019,zaragoza (lopez de micay - cauca),2021,12,7200,2989,511,jueves,2021-12-02T19:30,5.42
946,27,choco,27025,alto baudo (pie de pato),27025000,ciudad baudo - pie de pato (alto baudo - choco),2023,6,48391,16090,11986,jueves,2023-06-01T12:00,23.58
3383,19,cauca,19809,timbiqui,19809003,coteje (timbiqui - cauca),2020,11,6842,3913,338,sabado,2020-11-21T19:45,8.0
566,47,magdalena,47189,cienaga,47189018,palmor (cienaga - magdalena),2023,12,113035,45923,20704,sabado,2023-12-16T18:30,23.44
1742,97,vaupes,97161,caruru,97161000,caruru (caruru - vaupes),2022,8,27642,9275,9522,jueves,2022-08-25T19:30,12.35
2819,99,vichada,99624,santa rosalia,99624000,santa rosalia (santa rosalia - vichada),2021,7,126001,62119,31445,martes,2021-07-06T19:30,18.16
361,27,choco,27615,riosucio,27615011,san jose tamboral (riosucio - choco),2024,2,320,109,457,sabado,2024-02-17T19:30,3.07
1552,27,choco,27077,bajo baudo (pizarro),27077000,pizarro (bajo baudo (pizarro) - choco),2022,10,164425,62119,35660,lunes,2022-10-03T19:30,21.55
1666,97,vaupes,97161,caruru,97161000,caruru (caruru - vaupes),2022,9,27026,8615,9513,jueves,2022-09-29T15:00,12.15
4343,76,valle del cauca,76109,buenaventura,76109069,papayal 1 (buenaventura - valle del cauca),2024,10,6167,1463,4123,sabado,2024-10-26T12:30,9.63
882,19,cauca,19809,timbiqui,19809009,santa rosa de saija (timbiqui - cauca),2023,7,3236,1284,2011,domingo,2023-07-23T19:30,5.58
1539,19,cauca,19418,lopez de micay,19418012,san antonio de chuare (lopez de micay - cauca),2022,10,4673,1395,4429,domingo,2022-10-30T19:15,4.08
2239,19,cauca,19809,timbiqui,19809003,coteje (timbiqui - cauca),2022,1,5863,4178,33,lunes,2022-01-24T18:45,7.01
4178,52,nariño,52250,el charco,52250007,san jose del tapaje (el charco - nariño),2020,1,13262,3324,96,jueves,2020-01-30T20:00,5.4
3793,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2020,6,164425,62119,35660,miercoles,2020-06-10T14:45,6.3
1033,94,guainia,94343,barrancominas,94343000,barrancominas (barrancominas - guainia),2023,5,67713,17170,18108,lunes,2023-05-08T18:45,16.03
2779,27,choco,27495,nuqui,27495011,puerto jagua (nuqui - choco),2021,7,426,75,348,jueves,2021-07-01T21:00,5.43
1394,13,bolivar,13001,cartagena de indias,13001007,isla fuerte (cartagena de indias - bolivar),2022,12,25914,14554,22548,viernes,2022-12-30T23:00,4.47
569,52,nariño,52250,el charco,52250023,bazan (el charco - nariño),2023,12,4888,2238,912,domingo,2023-12-03T20:15,2.15
2288,97,vaupes,97666,taraira,97666000,taraira (taraira - vaupes),2022,1,31365,9992,11185,jueves,2022-01-06T18:45,11.23
1581,52,nariño,52696,santa barbara (iscuande),52696014,la ensenada (santa barbara (iscuande) - nariño),2022,10,2971,5272,2256,miercoles,2022-10-26T18:45,5.2
4305,27,choco,27077,bajo baudo,27077000,pizarro (bajo baudo - choco),2024,10,121713,47969,4657,sabado,2024-10-05T18:45,11.99
2876,5,antioquia,5873,vigia del fuerte,5873002,vegaez (vigia del fuerte - antioquia),2021,5,3997,294,3517,miercoles,2021-05-19T19:00,5.18
4553,27,choco,27800,unguia,27800001,balboa (unguia - choco),2024,9,17656,7878,8987,viernes,2024-09-27T20:30,12.68
2980,19,cauca,19809,timbiqui,19809023,puerto saija (timbiqui - cauca),2021,4,27027,9253,18005,jueves,2021-04-08T18:30,6.08
2349,27,choco,27800,unguia,27800005,titumate (unguia - choco),2021,12,18197,4683,1005,domingo,2021-12-19T19:00,8.15
3818,99,vichada,99773,cumaribo,99773000,cumaribo (cumaribo - vichada),2020,6,164425,62119,5192,viernes,2020-06-05T15:45,24.0
491,95,guaviare,95200,miraflores,95200000,miraflores (miraflores - guaviare),2024,4,111542,35676,23628,martes,2024-04-16T18:15,24.0
2120,52,nariño,52696,santa barbara (iscuande),52696022,secadero (santa barbara (iscuande) - nariño),2022,3,2715,1502,1286,martes,2022-03-15T18:45,9.0
1030,27,choco,27800,unguia,27800001,balboa (unguia - choco),2023,5,24459,9396,8705,sabado,2023-05-13T20:00,12.01
863,97,vaupes,97666,taraira,97666000,taraira (taraira - vaupes),2023,8,36864,11207,13438,jueves,2023-08-10T12:45,11.19
1345,27,choco,27450,medio san juan,27450016,macedonia (medio san juan - choco),2023,1,0,0,0,domingo,2023-01-01T00:00,0.0
2526,52,nariño,52250,el charco,52250023,bazan (el charco - nariño),2021,10,18786,11821,1008,sabado,2021-10-30T18:45,7.27
2563,13,bolivar,13001,cartagena de indias,13001037,isla mucura (cartagena de indias - bolivar),2021,9,6464,2355,1923,sabado,2021-09-25T22:15,14.8
